ID	Tratamiento	Nido	T_ing_min	No_Pau	P0	Pf	DP_mg	DP_rel	Motivacion
0225 N3B2H4	B2	N3	0.180017	2	8	8.2	0.2	2.5	Moribundas
0225 N3B2H5	B2	N3	1.542517	1	6.3	10.1	3.8	60.31746032	Moribundas
0225 N3B4H1	B4	N3	0.911083	2	11.1	15.2	4.1	36.93693694	Moribundas
0225 N3B4H2	B4	N3	1.090583	1	9.8	14	4.2	42.85714286	Moribundas
0225 N3B4H3	B4	N3	1.148833	1	9.9	14.2	4.3	43.43434343	Moribundas
0225 N3B4H4	B4	N3	1.331983	1	7.6	11.3	3.7	48.68421053	Moribundas
0225 N3B4H5	B4	N3	1.25055	1	9.7	13.6	3.9	40.20618557	Moribundas
0225 N3B8H1	B8	N3	1.06615	3	7.5	11.1	3.6	48	Moribundas
0225 N3B8H2	B8	N3	1.21065	1	8.5	12.7	4.2	49.41176471	Moribundas
0225 N3B8H3	B8	N3	1.248983	1	7.5	11.1	3.6	48	Moribundas
0225 N3B8H4	B8	N3	1.552883	8	7	11.8	4.8	68.57142857	Moribundas
0225 N3B8H5	B8	N3	1.312	1	11	15.4	4.4	40	Moribundas
0226 N3B0H1	B0	N3	1.319367	1	9.8	13.4	3.6	36.73469388	Moribundas
0226 N3B0H2	B0	N3	1.284817	1	10.2	14.8	4.6	45.09803922	Moribundas
0226 N3B0H3	B0	N3	1.689283	1	8.8	14.1	5.3	60.22727273	Moribundas
0226 N3B0H4	B0	N3	1.947717	1	9	15.6	6.6	73.33333333	Moribundas
0226 N3B1H1	B1	N3	1.117767	1	8.2	12.3	4.1	50	Moribundas
0226 N3B1H2	B1	N3	1.34505	1	10.1	15.5	5.4	53.46534653	Moribundas
0226 N3B1H3	B1	N3	1.385567	2	13.9	19.1	5.2	37.41007194	Moribundas
0226 N3B1H4	B1	N3	1.608783	1	11.2	16.6	5.4	48.21428571	Moribundas
0226 N3B2H1	B2	N3	1.6245	1	13.4	19.6	6.2	46.26865672	Moribundas
0226 N3B2H2	B2	N3	2.439467	3	11.9	16	4.1	34.45378151	Moribundas
0226 N3B2H3	B2	N3	1.10555	2	14.3	18.9	4.6	32.16783217	Moribundas
0226 N3B2H4	B2	N3	1.327583	2	7.2	10.2	3	41.66666667	Moribundas
0226 N3B4H1	B4	N3	1.271217	1	14.3	20.1	5.8	40.55944056	Moribundas
0226 N3B4H2	B4	N3	1.07645	4	8.5	11.9	3.4	40	Moribundas
0226 N3B4H3	B4	N3	1.244333	2	6.5	9.7	3.2	49.23076923	Moribundas
0226 N3B4H4	B4	N3	1.374183	1	8	12.9	4.9	61.25	Moribundas
0226 N3B8H1	B8	N3	1.3467	6	9.4	12.8	3.4	36.17021277	Moribundas
0226 N3B8H2	B8	N3	1.4792	2	6.6	10.2	3.6	54.54545455	Moribundas
0226 N3B8H3	B8	N3	1.23275	3	12.6	17.2	4.6	36.50793651	Moribundas
0226 N3B8H4	B8	N3	0.889583	5	13.9	16.4	2.5	17.98561151	Moribundas
